"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"406","進学",2,0,0,20,0,2,24
"407","製造",17,0,3,2,1,1,24
"408","大事",7,0,3,14,0,0,24
"409","分野",11,0,2,7,0,4,24
"410","僕",9,0,0,15,0,0,24
"411","３",7,1,0,8,1,6,23
"412","インターネット",7,0,7,7,0,2,23
"413","きっかけ",8,0,3,11,1,0,23
"414","コメント",1,0,0,0,0,22,23
"415","そこ",9,1,2,10,1,0,23
"416","どちら",10,0,5,3,0,5,23
"417","バス",1,0,4,15,3,0,23
"418","よい",10,0,1,7,1,4,23
"419","一部",13,0,0,6,0,4,23
"420","王国",1,0,2,0,0,20,23
"421","還元",22,0,0,0,0,1,23
"422","規模",9,0,7,6,0,1,23
"423","興味",10,0,3,6,0,4,23
"424","県民",7,0,2,5,1,8,23
"425","採用",15,0,1,7,0,0,23
"426","際",11,0,0,7,3,2,23
"427","事実",6,0,6,4,1,6,23
"428","時期",9,0,0,8,2,4,23
"429","時点",3,0,8,3,3,6,23
"430","失業",0,0,22,0,0,1,23
"431","戦略",12,0,0,7,1,3,23
"432","知識",11,0,1,11,0,0,23
"433","法人",16,1,0,4,1,1,23
"434","流れ",14,0,1,1,1,6,23
"435","500",5,0,0,4,2,11,22
"436","デメリット",10,0,4,3,0,5,22
"437","高校生",2,0,0,19,0,1,22
"438","最大",9,0,2,2,2,7,22
"439","程度",7,0,5,5,3,2,22
"440","労働",5,0,2,9,0,6,22
"441","イメージ",6,0,9,4,1,1,21
"442","センター",18,0,0,0,0,3,21
"443","テレワーク",4,0,13,2,0,2,21
"444","パブリック",0,0,0,0,0,21,21
"445","育児",0,0,8,3,0,10,21
"446","運営",9,0,1,6,3,2,21
"447","観",1,1,0,16,0,3,21
"448","起業",3,0,0,7,1,10,21
"449","求人",2,0,0,19,0,0,21
"450","健康",13,0,3,2,1,2,21
"451","工芸",0,21,0,0,0,0,21
"452","広い",7,0,8,4,1,1,21
"453","自家用車",1,0,19,1,0,0,21
"454","社長",18,0,0,0,3,0,21
"455","状態",12,0,0,4,3,2,21
"456","生",9,0,3,6,0,3,21
"457","団体",5,0,0,15,1,0,21
"458","年度",9,0,1,7,0,4,21
"459","豊か",6,3,6,3,1,2,21
"460","理解",15,0,1,3,1,1,21
"461","あなた",7,0,0,13,0,0,20
"462","アフター",4,0,0,11,0,5,20
"463","インタビュー",5,5,0,10,0,0,20
"464","プレミアム",0,0,0,0,0,20,20
"465","ホームページ",3,0,1,0,0,16,20
"466","レポート",15,0,1,0,4,0,20
"467","わけ",9,0,3,8,0,0,20
"468","確認",4,0,5,0,2,9,20
"469","看護",0,0,4,15,0,1,20
"470","簡単",15,0,1,3,0,1,20
"471","機関",9,0,3,5,0,3,20
"472","客",13,0,0,0,5,2,20
"473","公共",2,0,7,8,0,3,20
"474","行動",9,0,1,8,0,2,20
"475","策",8,0,0,6,0,6,20
"476","市民",4,0,0,1,0,15,20
"477","事態",5,0,0,9,0,6,20
"478","出身",5,0,1,10,1,3,20
"479","将来",7,0,4,6,1,2,20
"480","小さい",7,0,5,7,0,1,20
"481","消滅",0,0,18,1,0,1,20
"482","数値",2,0,16,1,1,0,20
"483","成果",6,0,2,11,0,1,20
"484","注意",10,0,3,2,0,5,20
"485","電子",11,0,0,1,0,8,20
"486","品",11,2,2,1,2,2,20
"487","例文",20,0,0,0,0,0,20
"488","路線",1,0,5,14,0,0,20
"489","SNS",6,0,8,5,0,0,19
"490","お願い",11,0,0,1,7,0,19
"491","カニ",0,0,2,1,16,0,19
"492","ご覧",9,0,5,1,1,3,19
"493","以降",4,0,3,7,1,4,19
"494","移動",4,0,4,6,1,4,19
"495","一般",10,1,3,3,1,1,19
"496","学び",2,0,0,17,0,0,19
"497","感",9,0,0,7,1,2,19
"498","協力",5,0,0,1,13,0,19
"499","近年",6,1,6,4,0,2,19
"500","向上",14,0,2,2,0,1,19
"501","氏",10,0,0,1,8,0,19
"502","実現",8,0,0,11,0,0,19
"503","若い",6,0,9,2,0,2,19
"504","宿泊",0,0,10,0,1,8,19
"505","心",2,0,0,17,0,0,19
"506","身",3,0,0,10,6,0,19
"507","人生",3,0,0,16,0,0,19
"508","是非",6,0,3,3,1,6,19
"509","先生",1,0,0,18,0,0,19
"510","田中",1,0,0,18,0,0,19
"511","動き",5,0,5,3,3,3,19
"512","日常",6,0,0,9,1,3,19
"513","保険",7,0,0,9,0,3,19
"514","連携",5,1,2,9,2,0,19
"515","100",8,0,6,3,0,1,18
"516","9",3,0,2,5,0,8,18
"517","オフィス",4,0,1,6,6,1,18
"518","コース",2,0,0,5,0,11,18
"519","ご存知",7,0,4,3,1,3,18
"520","タクシー",17,0,0,1,0,0,18
"521","チェーン",1,0,0,1,0,16,18
"522","はじめ",5,1,1,8,0,3,18
"523","ん",12,0,0,4,1,1,18
"524","維持",3,0,5,8,0,2,18
"525","禍",3,0,2,5,1,7,18
"526","過去",7,0,2,3,2,4,18
"527","好き",7,0,0,9,2,0,18
"528","使用",7,0,0,0,2,9,18
"529","姿勢",6,0,0,7,0,5,18
"530","車",4,0,10,3,0,1,18
"531","終了",11,0,2,2,0,3,18
"532","上記",3,0,4,5,3,3,18
"533","人々",10,0,3,5,0,0,18
"534","積極",8,0,0,2,1,7,18
"535","宣言",6,0,0,6,0,6,18
"536","専門",5,0,0,5,0,8,18
"537","大学生",5,0,4,5,0,4,18
"538","当時",8,0,0,8,2,0,18
"539","発生",6,0,6,4,1,1,18
"540","募集",3,0,0,4,1,10,18
"541","目的",8,0,2,4,1,3,18
"542","予算",4,0,0,11,0,3,18
"543","予防",13,0,0,0,0,5,18
"544","15",7,0,5,4,0,1,17
"545","2018",5,0,5,6,1,0,17
"546","31",2,0,7,0,0,8,17
"547","AI",13,1,1,2,0,0,17
"548","Go",0,0,0,0,0,17,17
"549","ICT",12,0,2,3,0,0,17
"550","To",0,0,0,0,0,17,17
"551","いくつ",9,0,0,3,1,4,17
"552","イベント",5,0,1,5,1,5,17
"553","うち",11,0,2,3,1,0,17
"554","ミレニアル",17,0,0,0,0,0,17
"555","額",9,0,0,4,0,4,17
"556","共通",4,0,0,9,1,3,17
"557","金額",6,0,1,2,0,8,17
"558","形成",0,0,0,17,0,0,17
"559","研究",12,0,1,4,0,0,17
"560","限り",4,0,0,3,6,4,17
"561","構造",2,0,12,3,0,0,17
"562","頃",2,0,1,10,1,3,17
"563","写真",15,0,0,1,1,0,17
"564","症",4,0,5,4,0,4,17
"565","政経",13,0,0,0,4,0,17
"566","損失",7,0,1,9,0,0,17
"567","大手",10,0,4,2,0,1,17
"568","中小",4,0,5,1,1,6,17
"569","電気",17,0,0,0,0,0,17
"570","彼",14,0,0,3,0,0,17
"571","複数",10,0,0,7,0,0,17
"572","予測",12,0,3,2,0,0,17
"573","里山",13,0,0,0,0,4,17
"574","2017",6,0,6,4,0,0,16
"575","コスト",8,0,2,6,0,0,16
"576","スタイル",5,0,0,9,2,0,16
"577","チーム",2,0,1,6,6,1,16
"578","チェック",12,0,2,0,0,2,16
"579","マルサンアイ",16,0,0,0,0,0,16
"580","みんな",4,0,0,4,0,8,16
"581","モノ",6,0,0,10,0,0,16
"582","ラーメン",0,0,0,0,11,5,16
"583","ランキング",1,0,2,2,0,11,16
"584","我々",8,0,0,6,2,0,16
"585","改善",5,0,1,6,3,1,16
"586","活躍",10,0,1,5,0,0,16
"587","期待",6,0,2,7,0,1,16
"588","共有",4,0,3,9,0,0,16
"589","掲載",14,0,0,0,1,1,16
"590","計画",5,0,0,1,1,9,16
"591","考え",12,0,1,1,0,2,16
"592","子供",4,0,0,3,0,9,16
"593","市内",4,0,0,2,0,10,16
"594","資源",7,0,0,8,0,1,16
"595","事例",5,0,3,4,1,3,16
"596","住",1,0,15,0,0,0,16
"597","書籍",16,0,0,0,0,0,16
"598","商店",13,0,1,0,0,2,16
"599","上手い",10,0,4,0,0,2,16
"600","人間",2,3,0,11,0,0,16
"601","選択肢",9,0,2,3,0,2,16
"602","層",1,0,4,6,0,5,16
"603","日南",8,0,2,4,0,2,16
"604","売上",13,0,3,0,0,0,16
"605","発表",1,0,2,3,2,8,16
"606","判断",8,0,3,5,0,0,16
"607","美味しい",4,0,0,0,8,4,16
"608","表",5,0,8,0,0,3,16
"609","病院",0,0,0,16,0,0,16
"610","物",12,1,0,1,0,2,16
"611","文化",10,2,1,3,0,0,16
"612","便",2,0,10,1,0,3,16
"613","労働省",3,0,1,3,0,9,16
"614","12",2,0,1,6,0,6,15
"615","29",1,0,7,1,3,3,15
"616","５",6,0,0,6,2,1,15
"617","オンデマンド",15,0,0,0,0,0,15
"618","コード",15,0,0,0,0,0,15
"619","スキル",5,0,0,8,2,0,15
"620","テレ",6,0,6,2,0,1,15
"621","トリーカ",15,0,0,0,0,0,15
"622","なか",1,4,1,9,0,0,15
"623","マスク",9,0,0,3,0,3,15
"624","まち",10,0,4,0,0,1,15
"625","メディア",3,0,2,6,3,1,15
"626","家事",5,0,1,0,0,9,15
"627","過疎",1,0,0,13,1,0,15
"628","回答",2,0,11,0,2,0,15
"629","開始",9,0,0,1,0,5,15
"630","学習",3,0,1,10,0,1,15
"631","基",3,0,3,5,1,3,15
"632","共感",1,0,0,14,0,0,15
"633","近い",4,0,7,4,0,0,15
"634","貢献",4,0,0,7,3,1,15
"635","冊",11,0,0,0,0,4,15
"636","紙",6,0,0,4,0,5,15
"637","集中",9,0,1,3,1,1,15
"638","旬刊",11,0,0,0,4,0,15
"639","症状",0,0,0,0,0,15,15
"640","上位",3,0,7,0,0,5,15
"641","振興",0,0,0,6,0,9,15
"642","生涯",12,0,0,3,0,0,15
"643","全て",8,0,1,5,0,1,15
"644","想像",9,0,0,5,1,0,15
"645","足",8,0,4,1,2,0,15
"646","大人",4,0,0,9,0,2,15
"647","知恵",2,0,0,13,0,0,15
"648","直接",11,0,1,1,2,0,15
"649","定義",5,0,4,6,0,0,15
"650","難しい",7,0,1,4,0,3,15
"651","日々",5,0,1,6,2,1,15
"652","費用",7,0,1,3,0,4,15
"653","普段",7,0,4,2,2,0,15
"654","部分",7,0,1,5,0,2,15
"655","法",13,0,0,0,0,2,15
"656","密度",0,0,15,0,0,0,15
"657","無い",3,0,1,7,2,2,15
"658","有名",8,0,1,1,1,4,15
"659","27",4,0,7,2,0,1,14
"660","C",2,0,0,12,0,0,14
"661","Google",4,0,0,10,0,0,14
"662","I",0,0,0,13,0,1,14
"663","PayPay",14,0,0,0,0,0,14
"664","RTP",0,0,0,0,14,0,14
"665","アプリ",8,0,2,4,0,0,14
"666","アメリカ",10,0,3,1,0,0,14
"667","クリエイティブ",1,0,0,10,3,0,14
"668","セット",3,0,0,5,1,5,14
"669","リモート",4,0,0,7,0,3,14
"670","ルール",14,0,0,0,0,0,14
"671","課",4,0,1,3,0,6,14
"672","海外",7,0,2,4,0,1,14
"673","今年",3,0,2,3,3,3,14
"674","困難",3,0,1,7,1,2,14
"675","最高",3,0,1,6,4,0,14
"676","施策",1,0,1,6,0,6,14
"677","視野",4,0,5,5,0,0,14
"678","資金",9,0,0,4,0,1,14
"679","自動車",9,0,3,2,0,0,14
"680","手段",6,0,2,5,0,1,14
"681","収入",7,0,0,1,0,6,14
"682","図",1,0,11,2,0,0,14
"683","推移",0,0,12,1,0,1,14
"684","整理",13,0,0,1,0,0,14
"685","線",1,0,3,10,0,0,14
