"","business.txt","culture.txt","datademirutottori.txt","opinion.txt","press_release.txt","public.txt"
"Think",0,0,2,0,0,0
"To",0,0,0,0,0,17
"TORICO",0,0,0,0,1,0
"ＴＯＲＩＣＯ",0,0,0,0,4,0
"TOTTORI",5,1,10,1,6,9
"training",1,0,0,0,0,0
"Travel",0,0,0,0,0,2
"Trello",2,0,0,0,0,0
"Twitter",6,0,0,0,0,1
"TYO",0,0,0,1,0,0
"U",0,0,3,7,0,1
"Uber",0,0,0,1,0,0
"UberEATS",1,0,0,0,0,0
"Uncertainty",0,0,0,1,0,0
"UP",4,0,0,0,0,0
"URL",2,0,0,0,1,0
"V",2,0,29,3,0,0
"Viable",0,0,0,0,2,0
"Visa",1,0,0,0,0,0
"VISION",0,0,0,0,1,0
"Volantility",0,0,0,1,0,0
"VUCA",0,0,0,1,0,0
"W",0,0,0,1,0,0
"WBF",2,0,0,0,0,0
"web",2,0,1,0,0,0
"Web",28,0,2,0,0,2
"ＷＥＢ",3,0,0,0,0,0
"Weekend",0,0,0,1,0,0
"wekipedia",0,0,1,0,0,0
"WeLove",0,0,0,0,0,3
"west",1,0,0,0,0,0
"WHO",0,0,0,0,0,1
"Wi",0,0,0,1,0,0
"Wii",0,0,0,1,0,0
"Wikipedia",0,0,0,0,0,1
"With",0,0,0,1,0,0
"X",0,0,0,1,0,0
"Y",1,0,0,0,0,0
"Yes",0,0,0,1,0,0
"your",1,0,0,0,0,0
"YouTube",1,0,0,1,0,0
"YOUTUBE",1,0,0,0,0,0
"YouTuber",2,0,0,0,0,0
"Z",5,0,0,1,0,0
"zoom",1,0,0,1,0,0
"Zoom",3,0,1,1,0,0
"アーチ",0,0,0,0,0,1
"アート",0,0,0,6,0,0
"あい",1,0,0,0,0,0
"アイデア",5,0,0,1,0,0
"アイディア",0,0,0,0,1,0
"アイテム",1,0,0,0,1,0
"アウト",2,0,0,0,0,0
"アウトソーシング",2,0,0,0,0,0
"アウトプット",3,0,0,2,0,0
"アカウント",2,0,0,0,0,1
"アクション",2,0,0,0,3,0
"アクセス",3,0,1,2,2,1
"アクティビティ",3,0,0,0,0,1
"アクティブ",0,0,0,2,0,0
"アクティブラーニング",0,0,0,2,0,0
"アサイン",2,0,0,0,0,0
"アジア",0,0,0,3,0,0
"アジェンダ",2,0,0,0,0,0
"アスレチック",0,0,0,0,0,3
"アセット",0,0,0,1,0,0
"アソビュー",0,0,0,0,0,1
"あたり",4,0,1,2,1,2
"アップ",3,0,1,2,0,0
"アップデート",1,0,0,1,0,0
"アドバイス",2,0,0,2,0,0
